x, y, yaw, vel, accel, jerk, curvature, time, wheels
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.059860,0.000185,0.009168,0.100000,1.000000,0.000000,0.011299,0.100000,0.099741,0.100259
0.118927,0.001418,0.035382,0.200000,1.000000,0.000000,0.045197,0.200000,0.197930,0.202070
0.176538,0.004591,0.077445,0.300000,1.000000,0.000000,0.101693,0.300000,0.293014,0.306986
0.232159,0.010434,0.134683,0.398378,0.969951,0.000000,0.180786,0.400000,0.381885,0.414871
0.285381,0.019524,0.206403,0.495048,0.941951,0.000000,0.283359,0.500000,0.462925,0.527171
0.335907,0.032297,0.291356,0.589135,0.913467,0.000000,0.420327,0.600000,0.532428,0.645842
0.383548,0.049058,0.387259,0.680026,0.882791,0.000000,0.616942,0.700000,0.583952,0.776100
0.428209,0.069991,0.490546,0.766989,0.848791,0.000000,0.915461,0.800000,0.606197,0.927781
0.469885,0.095171,0.596566,0.759280,-0.725813,0.000000,1.369239,0.900000,0.521204,0.997357
0.508649,0.124569,0.700263,0.688870,-0.682367,0.000000,1.967549,1.000000,0.378487,0.999254
0.544643,0.158069,0.797077,0.627656,-0.522323,0.000000,2.597194,1.100000,0.254353,1.000959
0.578072,0.195476,0.883640,0.590263,-0.094877,0.000000,3.031374,1.200000,0.180512,1.000015
0.609194,0.236523,0.958015,0.592903,0.162654,0.000000,2.998802,1.300000,0.185741,1.000065
0.638309,0.280885,1.019514,0.637880,0.619197,0.000000,2.473836,1.400000,0.276516,0.999244
0.665755,0.328189,1.068312,0.703485,0.702294,0.000000,1.687236,1.500000,0.431675,0.975296
0.691893,0.378023,1.105066,0.778128,0.809862,0.000000,0.918657,1.600000,0.614431,0.941824
0.717104,0.429948,1.130626,0.863581,0.920253,0.000000,0.299374,1.700000,0.804377,0.922786
0.741776,0.483504,1.145865,0.940206,-0.023022,0.000000,-0.169274,1.800000,0.976652,0.903760
0.766299,0.538226,1.151596,0.898896,-0.460501,0.000000,-0.492437,1.900000,1.000263,0.797529
0.791052,0.593653,1.148548,0.862708,-0.239830,0.000000,-0.695303,2.000000,1.000072,0.725344
0.816399,0.649333,1.137391,0.843662,-0.154440,0.000000,-0.809223,2.100000,1.000002,0.687321
0.842675,0.704842,1.118785,0.838445,-0.009258,0.000000,-0.841417,2.200000,1.000000,0.676890
0.870182,0.759786,1.093439,0.843228,0.111858,0.000000,-0.811967,2.300000,1.000019,0.686438
0.899177,0.813817,1.062196,0.816726,-0.632688,0.000000,-0.729393,2.400000,0.953144,0.680307
0.929863,0.866640,1.026103,0.732995,-0.890393,0.000000,-0.618913,2.500000,0.836883,0.629107
0.962385,0.918027,0.986485,0.643322,-0.910799,0.000000,-0.498992,2.600000,0.716834,0.569811
0.996816,0.967821,0.944990,0.551307,-0.934992,0.000000,-0.381373,2.700000,0.599455,0.503159
1.033148,1.015953,0.903602,0.456977,-0.964046,0.000000,-0.271802,2.800000,0.485420,0.428533
1.071288,1.062450,0.864621,0.360572,-0.964046,0.000000,-0.175268,2.900000,0.375044,0.346100
1.111046,1.107443,0.830613,0.261106,-1.000000,0.000000,-0.092619,3.000000,0.266644,0.255569
1.152125,1.151180,0.804363,0.161106,-1.000000,0.000000,-0.035261,3.100000,0.162407,0.159806
1.194115,1.194034,0.788847,0.061106,-1.000000,0.000000,-0.005073,3.200000,0.061177,0.061036
1.220000,1.220000,0.786000,0.000000,1.000000,0.000000,0.000000,3.261106,0.000000,0.000000
1.248133,1.248349,0.795517,0.100000,1.000000,0.000000,0.030911,3.361106,0.099292,0.100708
1.275518,1.276955,0.821322,0.200000,1.000000,0.000000,0.123642,3.461106,0.194337,0.205663
